indicator,category,name,symbol,crash_type,precision,recall,f1,avg_lead_time,median_lead_time,false_alarm_rate,total_signals,true_positives,false_positives,detected_crashes,missed_crashes,total_crashes
M4,momentum,MACD Histogram Neg Flip,ETH,D,0.1694915254237288,0.47058823529411764,0.24922118380062305,9.0,10.0,0.8305084745762712,59,10,49,8,9,17
M4,momentum,MACD Histogram Neg Flip,SOL,ALL,0.44642857142857145,0.5714285714285714,0.5012531328320803,10.0,11.0,0.5535714285714286,56,25,31,20,15,35
M4,momentum,MACD Histogram Neg Flip,SOL,A,0.3392857142857143,0.6086956521739131,0.43570843570843576,9.631578947368421,8.0,0.6607142857142857,56,19,37,14,9,23
M4,momentum,MACD Histogram Neg Flip,SOL,B,0.39285714285714285,0.5625,0.46261682242990654,9.681818181818182,11.5,0.6071428571428571,56,22,34,18,14,32
M4,momentum,MACD Histogram Neg Flip,SOL,C,0.19642857142857142,0.6666666666666666,0.30344827586206896,10.909090909090908,10.0,0.8035714285714286,56,11,45,8,4,12
M4,momentum,MACD Histogram Neg Flip,SOL,D,0.30357142857142855,0.52,0.383347788378144,11.470588235294118,12.0,0.6964285714285714,56,17,39,13,12,25
M4,momentum,MACD Histogram Neg Flip,DOGE,ALL,0.30357142857142855,0.47058823529411764,0.3690637720488467,10.117647058823529,9.0,0.6964285714285714,56,17,39,16,18,34
M4,momentum,MACD Histogram Neg Flip,DOGE,A,0.3392857142857143,0.6538461538461539,0.4467496542185339,8.368421052631579,5.0,0.6607142857142857,56,19,37,17,9,26
M4,momentum,MACD Histogram Neg Flip,DOGE,B,0.30357142857142855,0.48484848484848486,0.3733699382292381,8.529411764705882,7.0,0.6964285714285714,56,17,39,16,17,33
M4,momentum,MACD Histogram Neg Flip,DOGE,C,0.05357142857142857,0.42857142857142855,0.09523809523809523,7.333333333333333,4.0,0.9464285714285714,56,3,53,3,4,7
M4,momentum,MACD Histogram Neg Flip,DOGE,D,0.17857142857142858,0.4166666666666667,0.25,12.6,14.5,0.8214285714285714,56,10,46,10,14,24
M4,momentum,MACD Histogram Neg Flip,OP,ALL,0.2545454545454545,0.34375,0.2924976258309592,11.857142857142858,12.5,0.7454545454545455,55,14,41,11,21,32
