symbol,cluster_id,cluster_start,cluster_end,n_event_days,types,peak_decline,has_A,has_B,has_C,has_D
SUI,SUI_6,2023-11-16,2023-11-21,3,B|D,-0.11696284329563811,False,True,False,True
SUI,SUI_7,2023-12-11,2023-12-11,1,B|D,-0.10499359795134444,False,True,False,True
SUI,SUI_8,2024-01-18,2024-01-25,4,A|B|C|D,-0.2134703196347031,True,True,True,True
SUI,SUI_9,2024-03-04,2024-03-18,3,B|C,-0.2196914033798678,False,True,True,False
SUI,SUI_10,2024-04-02,2024-04-27,8,A|B|C|D,-0.38770917484131573,True,True,True,True
SUI,SUI_11,2024-05-14,2024-05-14,1,A,-0.16976938038343992,True,False,False,False
SUI,SUI_12,2024-06-11,2024-06-18,3,A|B|D,-0.21443298969072155,True,True,False,True
SUI,SUI_13,2024-07-04,2024-07-07,2,A|B|D,-0.21960736495549327,True,True,False,True
SUI,SUI_14,2024-07-24,2024-08-30,6,A|B|D,-0.32063008130081294,True,True,False,True
SUI,SUI_15,2024-09-26,2024-11-04,7,A|B|C|D,-0.2524959467531359,True,True,True,True
SUI,SUI_16,2024-11-25,2024-12-26,5,B|D,-0.14801187439896313,False,True,False,True
SUI,SUI_17,2025-01-19,2025-03-13,17,A|B|C|D,-0.5515768231682445,True,True,True,True
SUI,SUI_18,2025-03-28,2025-04-15,6,A|B|D,-0.23317902466278229,True,True,False,True
SUI,SUI_19,2025-05-30,2025-06-22,5,A|B|D,-0.29870018323408154,True,True,False,True
SUI,SUI_20,2025-07-28,2025-08-02,3,A|B|C|D,-0.2611999546330951,True,True,True,True
SUI,SUI_21,2025-08-25,2025-08-25,1,B|D,-0.11166662234396196,False,True,False,True
SUI,SUI_22,2025-09-25,2025-09-25,1,A,-0.1999794286302039,True,False,False,False
SUI,SUI_23,2025-10-10,2025-12-01,8,A|B|D,-0.5502390744641723,True,True,False,True
SUI,SUI_24,2025-12-18,2025-12-18,1,A,-0.1646920166242789,True,False,False,False
SUI,SUI_25,2026-01-19,2026-02-09,6,A|B|D,-0.4369978319091953,True,True,False,True
SUI,SUI_26,2026-03-19,2026-03-28,2,B,-0.11255679471292857,False,True,False,False
SUI,SUI_27,2026-05-15,2026-06-05,7,A|B|D,-0.3744552165792049,True,True,False,True
XLM,XLM_0,2022-01-21,2022-01-21,1,A|B|D,-0.23298033282904695,True,True,False,True
XLM,XLM_1,2022-02-11,2022-03-04,3,A|B|D,-0.2036199095022625,True,True,False,True
XLM,XLM_2,2022-04-06,2022-04-10,3,A|B|D,-0.15443037974683538,True,True,False,True
XLM,XLM_3,2022-05-09,2022-07-11,12,A|B|C|D,-0.6230742896268402,True,True,True,True
XLM,XLM_4,2022-08-19,2022-08-19,1,B,-0.1132075471698113,False,True,False,False
XLM,XLM_5,2022-09-13,2022-09-15,2,B|D,-0.10272168568920104,False,True,False,True
XLM,XLM_6,2022-11-08,2022-11-11,3,A|B|D,-0.22697674418604652,True,True,False,True
XLM,XLM_7,2022-12-16,2022-12-16,1,B|D,-0.11547619047619051,False,True,False,True
XLM,XLM_8,2023-04-21,2023-04-21,1,B,-0.12109744560075686,False,True,False,False
XLM,XLM_9,2023-07-04,2023-07-16,3,B|C|D,-0.2059953881629515,False,True,True,True
XLM,XLM_10,2023-08-04,2023-08-17,3,A|B|C|D,-0.20783764870538846,True,True,True,True
XLM,XLM_11,2023-09-11,2023-09-11,1,C,-0.21262254901960786,False,False,True,False
XLM,XLM_12,2023-11-07,2023-11-07,1,C,-0.22426470588235303,False,False,True,False
XLM,XLM_13,2023-12-11,2023-12-11,1,C,-0.24387254901960798,False,False,True,False
XLM,XLM_14,2023-12-26,2024-01-02,4,C,-0.2279411764705883,False,False,True,False
XLM,XLM_15,2024-03-05,2024-04-15,10,A|B|C|D,-0.3318527918781725,True,True,True,True
XLM,XLM_16,2024-08-04,2024-08-04,1,B,-0.11178247734138969,False,True,False,False
XLM,XLM_17,2024-10-02,2024-10-02,1,B,-0.1101278269419863,False,True,False,False
XLM,XLM_18,2024-11-13,2025-03-10,26,A|B|C|D,-0.5687533440342429,True,True,True,True
XLM,XLM_19,2025-04-06,2025-04-08,2,A|B|D,-0.1870635795663359,True,True,False,True
XLM,XLM_20,2025-07-23,2025-08-14,5,A|B|C|D,-0.24469413233458182,True,True,True,True
