rank,members,size,strategy,f1,precision,recall,false_alarm_rate,avg_lead_time,total_signals,detected_crashes,total_crashes
104,VOL6+M7+V7,3,OR,0.5464187777093223,0.37752478883584284,0.9887640449438202,0.6224752111641572,10.415605559835946,2723,264,267
105,VOL6+M8+M6,3,OR,0.5452761502937338,0.3786525974025974,0.9737827715355806,0.6213474025974026,10.285035732677596,2464,260,267
106,V7+M6+V4,3,OR,0.5438898294285767,0.3802055164954029,0.9550561797752809,0.6197944835045971,10.205420985683439,1849,255,267
107,VOL6+M7+X5,3,OR,0.5428024040395013,0.3757147662293979,0.9775280898876404,0.6242852337706021,10.239446408247348,2973,261,267
108,M6+V4,2,OR,0.5418233597429626,0.41325536062378165,0.7865168539325843,0.5867446393762183,9.607266171633698,1026,210,267
109,VOL6+M6,2,OR,0.5414749287330237,0.3802469135802469,0.9400749063670412,0.6197530864197531,10.447102820699142,1620,251,267
110,X5+M6+V4,3,OR,0.5413072004913868,0.37373737373737376,0.9812734082397003,0.6262626262626263,9.898105582876283,2079,262,267
111,M8+X5+M6,3,OR,0.5410320791848844,0.37683664649956783,0.9588014981273408,0.6231633535004322,9.989464986694514,2314,256,267
112,M8+V7+M6,3,OR,0.5397865645447681,0.37505752416014726,0.9625468164794008,0.6249424758398527,10.204821687387104,2173,257,267
113,VOL6+M6+VOL4,3,OR,0.5390611728732941,0.3755029056772463,0.9550561797752809,0.6244970943227537,10.335459467174283,2237,255,267
114,V7+M6+VOL4,3,OR,0.5384048735427897,0.3760330578512397,0.947565543071161,0.6239669421487604,10.231847865707598,1936,253,267
115,VOL3+M6+VOL4,3,OR,0.5384020574447792,0.3856763925729443,0.8913857677902621,0.6143236074270557,10.31242348384254,1885,238,267
